sequence	20180222-87YYrdRD1	20180130-87YYrdRD1	20180130-87YYrdRD2	20180222-87YYrfRD1	20180130-87YYrfRD1	20180130-87YYrfRD2	test_coef	control_coef	test_CPM	control_CPM	sd_test	sd_control	logFC	PValue	QValue
(Man)3-[1400].SDB12	5382	2545	3181	1300	3376	3819	-2.78271885194243	-1.97514552580608	61870.0629525597	138741.120360393	122935.978126141	13382.8968924116	-1.16508203277111	0.134344684201588	0.345457759375513
Gal-[<8].SDB107	12	8	14	22	21	16	-7.60691193735221	-7.91051831199239	497.004271492527	366.864381099711	217.538784247905	260.247139787094	0.438011411075666	0.52894923003143	0.69666483955359
Gal-[<8].SDB132	197	382	481	634	595	812	-4.0930812873021	-4.58168103982284	16687.7345531312	10237.6718888644	131.827956225996	5860.98381834412	0.704900439941247	0.0925904131941621	0.312492644530297
Gal-[110].SDB130	198	489	576	543	943	683	-4.07473797438953	-4.43210008286812	16996.6676557648	11889.4945122861	1465.21729360247	3438.88084667829	0.515564541703684	0.175414421966823	0.394682449425351
Gal-[110].SDB129	114	159	250	306	542	484	-4.57727019676524	-5.26624358148121	10282.9283891272	5162.96846244477	823.740750783183	911.533452878198	0.993978485434208	0.0188615842014152	0.254631386719105
Gal-[380].SDB127	445	1188	1425	667	1129	1050	-3.81472768911573	-3.5603482413331	22043.7163803129	28428.9228641711	4651.44976705107	2034.2636039199	-0.366991967820076	0.406916503946468	0.549337280327732
Gal-[510].SDB128	49	1127	1591	120	809	819	-4.430577338031	-3.80850575350919	11907.6129700636	22181.298533965	17023.7536153964	6524.18799864595	-0.897459590067548	0.323365237907105	0.500452279739053
Lac-[80].SDB25	181	113	186	384	733	413	-4.42325569401028	-5.2131979047693	11995.116216282	5444.23567272321	3467.27892755433	3512.91907016781	1.13964571005091	0.0596221201465617	0.28615849943765
Lac-[140].SDB24	156	110	140	225	290	314	-5.0216766631462	-5.36859463477848	6593.4624209175	4660.67666279126	2990.7796000945	1382.15252273482	0.500496837269143	0.344352827725604	0.500452279739053
Lac-[320].SDB23	294	784	957	443	630	703	-4.27535534274103	-3.96931229955108	13907.106051635	18886.4168675388	3120.68426378539	2010.21776153285	-0.441526780708701	0.233888453965949	0.485768327467741
Lac-[490].SDB22	186	640	645	540	490	440	-4.38296488063511	-4.30279176491924	12488.2774256736	13530.7316123188	3812.05012183421	6175.29549073855	-0.115665356455904	0.799210129904871	0.899111396142979
Lac-[840].SDB21	217	2259	2416	320	887	512	-4.35451961583694	-3.19229678552957	12848.6103708253	41077.4164939931	26274.1121936482	3764.14137714124	-1.67673311369237	0.036549012357379	0.28615849943765
Lac-[1190].SDB20	210	582	659	711	362	229	-4.39224734651764	-4.30361763585509	12372.891776721	13519.5615874737	2416.04116293093	11693.3984622378	-0.127865644048281	0.844260663930934	0.927790435282173
LNT-NAc-[30].SDB71	39	36	43	82	132	131	-5.92210670958968	-6.65375860928763	2679.54919457024	1289.16751093901	633.863463435007	258.926042617307	1.05555056735122	0.115442305504186	0.343568549795436
LNT-NAc-[80].SDB70	261	335	287	339	1032	1019	-4.05924308395482	-4.65087951525429	17262.0801170956	9553.19605288086	3821.92378346094	4283.40962110207	0.853550945444983	0.0746270018583122	0.30998908464222
LNT-NAc-[160].SDB68	114	20	47	165	114	100	-5.69696697295197	-6.01227428490398	3356.12926696849	2448.51322663176	3000.48468541607	2274.70766841177	0.454892295309189	0.640344984845643	0.75170933003619
LNT-NAc-[220].SDB69	63	38	80	150	148	197	-5.51571341251613	-6.22427755633039	4023.05621577665	1980.75428196726	1162.168907955	1315.78157033851	1.02224197643257	0.124712001591782	0.343568549795436
LNT-NAc-[1030].SDB67	46	14	52	172	62	92	-5.79223859975268	-6.67034287550242	3051.14423484223	1267.96392269847	1024.79782501518	2765.67481392647	1.26683668400754	0.194917960967166	0.42102279568908
LNT-NAc-[1490].SDB58	85	76	115	121	167	50	-5.86109418026799	-5.82435129683715	2848.12561427835	2954.72026719403	1281.91153883815	1743.71912106496	-0.0530087757136352	0.938764203434132	0.956476735574399
Galf-[160].SDB84	309	354	347	354	399	559	-4.56365658699041	-4.51189722399086	10423.8733717807	10977.6134150392	4585.59617567073	2602.9420217298	-0.0746729763190111	0.868506838793316	0.927790435282173
Galf-[110].SDB86	196	191	257	82	262	354	-5.3077026266869	-4.97417834960968	4953.29321978632	6914.19765937941	2856.06967396167	1916.29016967898	-0.481173820555381	0.329934127138602	0.500452279739053
Galf-[140].SDB82	175	134	134	71	178	190	-5.73652626322055	-5.2659115751662	3225.95495263947	5164.68288516233	3436.04666646272	566.43591366164	-0.678953476625517	0.244623223964644	0.489246447929288
Galf-[160].SDB83	134	196	193	212	362	392	-4.90599196701762	-5.21400742444713	7402.09680399312	5439.83024019815	1476.08090825755	384.739488223797	0.444372372950702	0.255390537229379	0.491556613322388
Galf-[840].SDB81	43	30	63	133	17	23	-6.29913473834537	-6.53860731687875	1837.89434873724	1446.50161526309	725.220652928535	2566.64529325353	0.345485901479003	0.754887290750316	0.867317312776958
