Barcode	SDB	Type	Reference	Test.CPM	Test_SD	Control.CPM	Control_SD	logFC	F	PValue	QValue
Galili-tri-[680]	SDB57	ACG PBS	Streptavidin	34952.1216199586	1450.08288304295	8262.22028085322	1640.1140664419	2.0807786011022	137.513336871126	2.8828693334184e-11	5.00221961433666e-10
Galili-tri-[680]	SDB57	ACG HEPES	Streptavidin	4022.47769959987	576.466295847566	8262.19296497372	1640.1140664419	-1.03844033223747	24.2113578025552	7.21663852299397e-06	3.47467780736747e-05
Galili-tri-[680]	SDB57	NPL PBS	Streptavidin	14909.7065508501	2716.38029078285	8262.19901276745	1640.1140664419	0.851654147007808	19.5198387907545	1.46245592817973e-05	6.40851474146173e-05
Galili-tri-[680]	SDB57	NPL HEPES	Streptavidin	2796.63189188896	355.953783535589	8262.16588683415	1640.1140664419	-1.56282965591919	48.995821050628	4.81839044033972e-09	4.90218853495432e-08
Galili-tri-[680]	SDB57	MAL PBS	Streptavidin	2637.46432673193	593.202518357483	8262.62729300565	1640.1140664419	-1.64744901212505	36.8116380345179	1.52404650942849e-05	6.60420154085679e-05
Galili-tri-[680]	SDB57	MAL HEPES	Streptavidin	4287.34729814892	599.199498137403	8262.03720609874	1640.1140664419	-0.946412269106687	20.9059581551729	0.000204355384705943	0.000651487193749193
Galili-tri-[680]	SDB57	UEA PBS	Streptavidin	10398.3070310114	1511.78726156319	8262.59884318801	1640.1140664419	0.331681129046436	2.85524184630666	0.106442639501881	0.168522176207308
Galili-tri-[680]	SDB57	UEA HEPES	Streptavidin	4700.66163737596	1773.35537252544	8261.88863102479	1640.1140664419	-0.8136077767021	11.2683302785451	0.00448374923882446	0.0108612559201338
Galili-tri-[680]	SDB57	SNA PBS	Streptavidin	7451.1436770433	913.26061042169	8262.46486322443	1640.1140664419	-0.14911034943388	0.613229759974944	0.443000945078327	0.546741672723252
Galili-tri-[680]	SDB57	SNA HEPES	Streptavidin	20601.8491255376	1134.01113444676	8262.94815485618	1640.1140664419	1.31804531193249	49.7871235881774	2.70524313545288e-05	0.000107292693846775
P1 tri-[1220]	SDB58	CTb PBS	Streptavidin	1221.79604103764	515.539910184267	741.786456753018	291.637615450832	0.719927637768949	2.56032102179222	0.140120826513222	0.208842505758561
P1 tri-[1220]	SDB58	CTb HEPES	Streptavidin	710.650284998523	15.9860323879361	740.996630087922	291.637615450832	-0.060327205310457	0.0225330074095632	0.881025255438984	0.917898084473385
P1 tri-[1220]	SDB58	LCA PBS	Streptavidin	1046.04380402443	277.737139435582	740.975170658136	291.637615450832	0.497446161825211	1.50095295552757	0.236109398311099	0.322719621523347
P1 tri-[1220]	SDB58	LCA HEPES	Streptavidin	1231.02023543738	115.201070591289	741.283042765735	291.637615450832	0.731758062472257	3.50763494195947	0.0976305684317945	0.157991376300414
P1 tri-[1220]	SDB58	PSA PBS	Streptavidin	2105.241156985	707.684432251278	740.446430141975	291.637615450832	1.50751823635428	17.0724743286519	0.000540422699747568	0.00158867979574034
P1 tri-[1220]	SDB58	PSA HEPES	Streptavidin	1179.55136353402	62.7456517586655	740.603502287825	291.637615450832	0.671464964971697	2.87189824763091	0.0913358286575159	0.149877867502516
P1 tri-[1220]	SDB58	SBA PBS	Streptavidin	14668.8630395081	5513.93967191475	740.558685105313	291.637615450832	4.30799917859529	206.657524709713	1.24099820140842e-14	4.83989298549284e-13
P1 tri-[1220]	SDB58	SBA HEPES	Streptavidin	5555.03416927126	1268.78246031341	739.260325457008	291.637615450832	2.90964139159876	82.1736929635341	1.01406817844382e-05	4.63460847179402e-05
P1 tri-[1220]	SDB58	ACG PBS	Streptavidin	888.239636196618	311.283492616478	738.844106421354	291.637615450832	0.265678957812701	0.581357333068285	0.462145839902531	0.564416109275534
P1 tri-[1220]	SDB58	ACG HEPES	Streptavidin	2354.93507042473	350.359849871891	738.782890395596	291.637615450832	1.67246492263547	39.6995089484654	1.55099769699506e-06	8.85203563650838e-06
P1 tri-[1220]	SDB58	NPL PBS	Streptavidin	2634.83076417446	28.2439322872423	739.043954570431	291.637615450832	1.83397822399327	53.1066687218008	3.08993843033067e-11	5.23946081664766e-10
P1 tri-[1220]	SDB58	NPL HEPES	Streptavidin	2402.30986777063	1086.77039173881	739.348148422509	291.637615450832	1.70009647871683	22.093787996795	0.000529767243063889	0.00156127877678778
P1 tri-[1220]	SDB58	MAL PBS	Streptavidin	1298.69025121668	201.449852242041	740.755459268503	291.637615450832	0.809988117843584	5.21601257773904	0.036148417598983	0.06759239673229
P1 tri-[1220]	SDB58	MAL HEPES	Streptavidin	2591.59521801724	350.231147073701	738.771348872108	291.637615450832	1.81064057914732	41.5747075664183	6.10124201824963e-06	3.02476828870851e-05
P1 tri-[1220]	SDB58	UEA PBS	Streptavidin	795.323530749261	109.274400550085	739.660022588949	291.637615450832	0.104679553098615	0.107272120467769	0.746639427599522	0.814284968311375
P1 tri-[1220]	SDB58	UEA HEPES	Streptavidin	1076.62375276452	179.974004696536	740.00208934932	291.637615450832	0.540912910730805	2.27216607538251	0.151646266845254	0.221229591282976
P1 tri-[1220]	SDB58	SNA PBS	Streptavidin	553.486865710625	5.16826399492702	738.935061081497	291.637615450832	-0.41689850121382	1.72882026153809	0.210603390674461	0.294040533519236
P1 tri-[1220]	SDB58	SNA HEPES	Streptavidin	309.171251506359	101.456487396499	740.170283858841	291.637615450832	-1.25945104035489	8.16448622178551	0.0166407195987082	0.0343986606545736
LeA-[1380]	SDB56	CTb PBS	Streptavidin	124.784917008273	140.57734770143	158.375820118506	97.0499799999823	-0.343908526674587	0.145745893676999	0.710820755772341	0.7875570873614
LeA-[1380]	SDB56	CTb HEPES	Streptavidin	115.142821218331	90.5261747973807	161.019033654586	97.0499799999823	-0.483806769193443	0.326655881261972	0.569026329759067	0.66113287568829
LeA-[1380]	SDB56	LCA PBS	Streptavidin	243.231936573922	230.188776694497	158.777392717014	97.0499799999823	0.615327157271132	0.913455465419534	0.351694814260399	0.450973065293092
LeA-[1380]	SDB56	LCA HEPES	Streptavidin	263.441037302229	51.8250854237906	157.833781852869	97.0499799999823	0.739074072971239	1.8612123138215	0.209291011115338	0.292557327365526
LeA-[1380]	SDB56	PSA PBS	Streptavidin	782.060507813437	379.434386196331	159.725902262197	97.0499799999823	2.29168194360845	22.6983200558772	0.000126101591450734	0.000423962247118849
LeA-[1380]	SDB56	PSA HEPES	Streptavidin	182.432458627754	146.00674597796	158.571373103844	97.0499799999823	0.202230093820546	0.115993758451764	0.733695891412646	0.804521267996997
LeA-[1380]	SDB56	SBA PBS	Streptavidin	41.0222530586137	11.2149919532781	160.235841843049	97.0499799999823	-1.96571825246651	7.15956929354047	0.0110458379222819	0.024111250688563
LeA-[1380]	SDB56	SBA HEPES	Streptavidin	703.556401378787	56.1278275507179	160.538803165892	97.0499799999823	2.13174403603497	30.4542598003076	6.69003142311068e-06	3.26139031876645e-05
